ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC,pct_internet,conectividad_alta
17,Morelos,1,Amacuzac,1,Amacuzac,1614.0,811.0,1442.0,835.0,486.0,50.24783147459727,1
17,Morelos,1,Amacuzac,2,Cajones,149.0,39.0,122.0,27.0,24.0,26.174496644295303,0
17,Morelos,1,Amacuzac,3,Casahuatlán,497.0,123.0,400.0,72.0,54.0,24.748490945674046,0
17,Morelos,1,Amacuzac,4,Coahuixtla,309.0,99.0,238.0,61.0,40.0,32.038834951456316,1
17,Morelos,1,Amacuzac,5,Huajintlán,514.0,177.0,411.0,219.0,101.0,34.43579766536965,1
17,Morelos,1,Amacuzac,6,Miahuatlán (El Cuiji),143.0,45.0,106.0,50.0,17.0,31.46853146853147,1
17,Morelos,1,Amacuzac,7,Rancho Nuevo,229.0,57.0,164.0,40.0,13.0,24.890829694323145,0
17,Morelos,1,Amacuzac,8,San Gabriel las Palmas,860.0,360.0,664.0,296.0,171.0,41.86046511627907,1
17,Morelos,1,Amacuzac,9,Teacalco,212.0,89.0,158.0,107.0,27.0,41.9811320754717,1
17,Morelos,1,Amacuzac,10,Zoquital,36.0,1.0,32.0,1.0,2.0,2.7777777777777777,0
17,Morelos,1,Amacuzac,12,Campo Nuevo,10.0,2.0,8.0,1.0,0.0,20.0,0
17,Morelos,1,Amacuzac,16,Colonia el Campamento,53.0,24.0,44.0,18.0,9.0,45.28301886792453,1
17,Morelos,1,Amacuzac,19,Colonia Ejidal,100.0,35.0,85.0,50.0,11.0,35.0,1
17,Morelos,1,Amacuzac,21,Los Limones,49.0,24.0,45.0,15.0,9.0,48.97959183673469,1
17,Morelos,1,Amacuzac,26,Colonia Oriental,53.0,5.0,39.0,6.0,4.0,9.433962264150944,0
17,Morelos,1,Amacuzac,33,Tula,7.0,0.0,6.0,5.0,0.0,0.0,0
17,Morelos,1,Amacuzac,36,Colonia Ocampo,10.0,1.0,9.0,0.0,1.0,10.0,0
17,Morelos,1,Amacuzac,37,El Campamento,23.0,10.0,18.0,5.0,3.0,43.47826086956522,1
17,Morelos,1,Amacuzac,41,Villa Verde,15.0,3.0,16.0,4.0,1.0,20.0,0
17,Morelos,1,Amacuzac,42,Parada de Coahuixtla (Colonia Benito Juárez),12.0,2.0,10.0,3.0,1.0,16.666666666666664,0
17,Morelos,1,Amacuzac,43,La Primera (El Ladrón),4.0,0.0,5.0,1.0,0.0,0.0,0
17,Morelos,1,Amacuzac,44,La Calera,6.0,5.0,6.0,4.0,3.0,83.33333333333334,1
17,Morelos,1,Amacuzac,47,El Paso de Miahuatlán,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,1,Amacuzac,48,El Rosal (El Alacrán),3.0,0.0,3.0,0.0,0.0,0.0,0
17,Morelos,1,Amacuzac,50,Los Baños de Tula,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,1,Amacuzac,51,Campo la Cazuela,0.0,0.0,0.0,0.0,0.0,0.0,0
17,Morelos,1,Amacuzac,53,Colonia Ojo de Agua,15.0,1.0,11.0,5.0,1.0,6.666666666666667,0
