ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_C_ELEC,VPH_INTER,VPH_CEL,VPH_STVP,VPH_PC
17,Morelos,000,Total de la entidad Morelos,0000,Total de la Entidad,556409,307830,499787,222853,204850
17,Morelos,000,Total de la entidad Morelos,9998,Localidades de una vivienda,132,40,145,35,23
17,Morelos,000,Total de la entidad Morelos,9999,Localidades de dos viviendas,147,30,150,30,18
17,Morelos,001,Amacuzac,0000,Total del Municipio,4940,1919,4056,1833,979
17,Morelos,001,Amacuzac,0001,Amacuzac,1614,811,1442,835,486
17,Morelos,001,Amacuzac,0002,Cajones,149,39,122,27,24
17,Morelos,001,Amacuzac,0003,Casahuatlán,497,123,400,72,54
17,Morelos,001,Amacuzac,0004,Coahuixtla,309,99,238,61,40
17,Morelos,001,Amacuzac,0005,Huajintlán,514,177,411,219,101
17,Morelos,001,Amacuzac,0006,Miahuatlán (El Cuiji),143,45,106,50,17
17,Morelos,001,Amacuzac,0007,Rancho Nuevo,229,57,164,40,13
17,Morelos,001,Amacuzac,0008,San Gabriel las Palmas,860,360,664,296,171
17,Morelos,001,Amacuzac,0009,Teacalco,212,89,158,107,27
17,Morelos,001,Amacuzac,0010,Zoquital,36,1,32,1,2
17,Morelos,001,Amacuzac,0012,Campo Nuevo,10,2,8,1,0
17,Morelos,001,Amacuzac,0016,Colonia el Campamento,53,24,44,18,9
17,Morelos,001,Amacuzac,0019,Colonia Ejidal,100,35,85,50,11
17,Morelos,001,Amacuzac,0021,Los Limones,49,24,45,15,9
17,Morelos,001,Amacuzac,0026,Colonia Oriental,53,5,39,6,4
17,Morelos,001,Amacuzac,0033,Tula,7,0,6,5,0
17,Morelos,001,Amacuzac,0036,Colonia Ocampo,10,1,9,0,1
17,Morelos,001,Amacuzac,0037,El Campamento,23,10,18,5,3
17,Morelos,001,Amacuzac,0041,Villa Verde,15,3,16,4,1
17,Morelos,001,Amacuzac,0042,Parada de Coahuixtla (Colonia Benito Juárez),12,2,10,3,1
17,Morelos,001,Amacuzac,0043,La Primera (El Ladrón),4,0,5,1,0
17,Morelos,001,Amacuzac,0044,La Calera,6,5,6,4,3
17,Morelos,001,Amacuzac,0047,El Paso de Miahuatlán,*,*,*,*,*
17,Morelos,001,Amacuzac,0048,El Rosal (El Alacrán),3,0,3,0,0
17,Morelos,001,Amacuzac,0050,Los Baños de Tula,*,*,*,*,*
