VPH_C_ELEC,VPH_CEL,VPH_STVP,VPH_PC,NOM_MUN_Amacuzac,NOM_MUN_Atlatlahucan,NOM_MUN_Axochiapan,NOM_MUN_Ayala,NOM_MUN_Coatetelco,NOM_MUN_Coatlán del Río,NOM_MUN_Cuautla,NOM_MUN_Cuernavaca,NOM_MUN_Emiliano Zapata,NOM_MUN_Hueyapan,NOM_MUN_Huitzilac,NOM_MUN_Jantetelco,NOM_MUN_Jiutepec,NOM_MUN_Jojutla,NOM_MUN_Jonacatepec de Leandro Valle,NOM_MUN_Mazatepec,NOM_MUN_Miacatlán,NOM_MUN_Ocuituco,NOM_MUN_Puente de Ixtla,NOM_MUN_Temixco,NOM_MUN_Temoac,NOM_MUN_Tepalcingo,NOM_MUN_Tepoztlán,NOM_MUN_Tetecala,NOM_MUN_Tetela del Volcán,NOM_MUN_Tlalnepantla,NOM_MUN_Tlaltizapán de Zapata,NOM_MUN_Tlaquiltenango,NOM_MUN_Tlayacapan,NOM_MUN_Totolapan,NOM_MUN_Xochitepec,NOM_MUN_Xoxocotla,NOM_MUN_Yautepec,NOM_MUN_Yecapixtla,NOM_MUN_Zacatepec,NOM_MUN_Zacualpan de Amilpas,conectividad_alta_real,prediccion_conectividad_alta
9.0,9.0,7.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1,1
10.0,9.0,2.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0
57.0,54.0,17.0,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
363.0,338.0,175.0,44.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1,1
69.0,65.0,10.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0,0
321.0,318.0,129.0,176.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1
32.0,25.0,8.0,11.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1
442.0,388.0,234.0,53.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
9.0,8.0,1.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1
0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
11.0,9.0,1.0,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1
283.0,266.0,99.0,93.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1
0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
157.0,126.0,31.0,23.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1
3.0,3.0,2.0,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,1,1
0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
20.0,18.0,6.0,3.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1
3.0,3.0,1.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1,1
0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0
